date,district,commodity,modal_price,min_price,max_price,temp_max,temp_min,rainfall,wind_speed,modal_price_lag_1,modal_price_lag_7,modal_price_lag_14
2024-10-12,Ahmednagar,Apple,10000.0,7000.0,13000.0,28.2,20.3,6.7,14.2,8500.0,10750.0,11500.0
2024-10-13,Ahmednagar,Apple,9500.0,6000.0,13000.0,28.6,20.2,15.0,14.6,10000.0,10375.0,11500.0
2024-10-15,Ahmednagar,Apple,8000.0,6000.0,10000.0,28.3,19.7,1.0,11.0,9500.0,9750.0,11250.0
2024-10-17,Ahmednagar,Apple,8000.0,6000.0,10000.0,27.6,20.0,1.9,14.7,8000.0,8000.0,11500.0
2024-10-19,Ahmednagar,Apple,8000.0,6000.0,10000.0,28.2,19.7,17.1,12.7,8000.0,9500.0,11500.0
2024-10-22,Ahmednagar,Apple,8500.0,7000.0,10000.0,27.2,19.2,3.3,10.3,8000.0,10000.0,10000.0
2024-10-23,Ahmednagar,Apple,8500.0,7000.0,10000.0,27.2,18.9,0.2,11.7,8500.0,8500.0,11250.0
2024-10-24,Ahmednagar,Apple,8000.0,6000.0,10000.0,26.7,19.0,0.0,11.1,8500.0,10000.0,10750.0
2024-10-25,Ahmednagar,Apple,6500.0,5000.0,8000.0,26.9,17.7,0.0,12.2,8000.0,9500.0,10375.0
2024-10-26,Ahmednagar,Apple,8000.0,6000.0,10000.0,27.5,17.8,0.0,13.4,6500.0,8000.0,9750.0
2024-10-28,Ahmednagar,Apple,7500.0,5000.0,10000.0,28.6,18.3,0.0,10.7,8000.0,8000.0,8000.0
2024-11-03,Ahmednagar,Apple,8000.0,6000.0,10000.0,28.6,18.3,0.0,12.1,7500.0,8000.0,9500.0
2024-11-05,Ahmednagar,Apple,6500.0,6500.0,6500.0,28.2,18.3,0.0,12.2,8000.0,8500.0,10000.0
2024-11-06,Ahmednagar,Apple,8500.0,7000.0,10000.0,28.3,17.6,0.0,13.2,6500.0,8500.0,8500.0
2024-11-07,Ahmednagar,Apple,7750.0,5000.0,10000.0,28.0,16.9,0.0,12.8,8500.0,8000.0,10000.0
2024-11-10,Ahmednagar,Apple,8000.0,6000.0,10000.0,27.2,17.4,0.0,13.4,7750.0,6500.0,9500.0
2024-12-03,Ahmednagar,Apple,8250.0,6000.0,10500.0,26.8,19.1,1.1,17.8,8000.0,8000.0,8000.0
2024-12-14,Ahmednagar,Apple,9500.0,7000.0,12000.0,23.3,12.2,0.0,14.1,8250.0,7500.0,8000.0
2024-12-17,Ahmednagar,Apple,9750.0,7000.0,12500.0,25.3,12.5,0.0,9.2,9500.0,8000.0,8000.0
2024-12-19,Ahmednagar,Apple,9700.0,7000.0,12500.0,26.4,13.5,0.0,8.0,9750.0,6500.0,8500.0
2024-12-20,Ahmednagar,Apple,10000.0,8000.0,12000.0,26.7,13.8,0.0,6.3,9700.0,8500.0,8500.0
2024-12-21,Ahmednagar,Apple,9750.0,7000.0,12500.0,27.3,15.2,0.0,10.4,10000.0,7750.0,8000.0
2024-12-23,Ahmednagar,Apple,10000.0,8000.0,12000.0,26.3,16.7,0.1,14.7,9750.0,8000.0,6500.0
2024-12-26,Ahmednagar,Apple,10500.0,9000.0,12000.0,26.5,17.6,0.0,13.1,10000.0,8250.0,8000.0
2024-12-28,Ahmednagar,Apple,10750.0,10000.0,11500.0,26.4,17.5,1.1,19.7,10500.0,9500.0,7500.0
2024-12-30,Ahmednagar,Apple,10500.0,9000.0,12000.0,27.4,17.1,0.0,9.0,10750.0,9750.0,8000.0
2024-01-15,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8512.5,8000.0,8800.0,24.7,12.9,0.0,9.1,8500.0,8043.0,7790.0
2024-01-16,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8233.333333333334,5500.0,8800.0,27.2,11.9,0.0,9.8,8512.5,8250.0,7750.0
2024-01-17,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8188.2,7000.0,9000.0,27.4,12.8,0.0,14.8,8233.333333333334,8304.5,7421.666666666667
2024-01-18,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8725.0,8000.0,9300.0,25.6,13.3,0.0,11.2,8188.2,8462.5,7644.444444444444
2024-01-19,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8880.0,7600.0,10000.0,27.2,13.0,0.0,19.0,8725.0,8291.666666666666,7768.714285714285
2024-01-20,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9175.0,8300.0,9500.0,27.4,14.1,0.0,17.8,8880.0,8500.0,7946.0
2024-01-23,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8544.42857142857,7500.0,9600.0,24.1,13.3,0.0,13.2,9175.0,8500.0,7900.0
2024-01-24,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9020.0,8200.0,9500.0,23.3,11.8,0.0,13.2,8544.42857142857,8512.5,8043.0
2024-01-25,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9133.333333333334,8000.0,9650.0,23.5,11.0,0.0,11.800000000000002,9020.0,8233.333333333334,8250.0
2024-01-27,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9285.714285714286,7500.0,10005.0,26.5,13.0,0.0,9.1,9133.333333333334,8188.2,8304.5
2024-01-28,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9500.0,9500.0,9500.0,27.6,14.6,0.0,11.7,9285.714285714286,8725.0,8462.5
2024-01-29,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9266.666666666666,6401.0,10100.0,26.8,15.800000000000002,0.0,9.9,9500.0,8880.0,8291.666666666666
2024-01-30,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9425.0,8000.0,10000.0,27.1,14.2,0.0,9.4,9266.666666666666,9175.0,8500.0
2024-01-31,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9193.666666666666,7900.0,9900.0,28.2,14.4,0.0,16.6,9425.0,8544.42857142857,8500.0
2024-02-01,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8800.25,5901.0,10900.0,25.7,14.2,0.0,12.5,9193.666666666666,9020.0,8512.5
2024-02-02,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8860.0,6500.0,10100.0,25.1,13.9,0.0,13.3,8800.25,9133.333333333334,8233.333333333334
2024-02-03,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9550.0,7900.0,10100.0,27.2,14.6,0.0,14.2,8860.0,9285.714285714286,8188.2
2024-02-04,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9900.0,9400.0,10000.0,29.5,15.2,0.0,10.0,9550.0,9500.0,8725.0
2024-02-05,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9666.666666666666,8200.0,10000.0,30.7,17.5,0.0,12.5,9900.0,9266.666666666666,8880.0
2024-02-06,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9496.714285714286,8000.0,10300.0,31.2,17.8,0.0,12.6,9666.666666666666,9425.0,9175.0
2024-02-07,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9480.0,3000.0,10200.0,29.9,16.5,0.0,14.4,9496.714285714286,9193.666666666666,8544.42857142857
2024-02-08,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9430.0,8000.0,10200.0,28.0,15.8,0.0,13.0,9480.0,8800.25,9020.0
2024-02-09,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9658.5,8500.0,10100.0,30.8,14.1,0.0,14.5,9430.0,8860.0,9133.333333333334
2024-02-10,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9830.2,8000.0,10200.0,31.6,14.8,0.0,18.1,9658.5,9550.0,9285.714285714286
2024-02-11,Ahmednagar,Arhar (Tur/Red Gram)(Whole),10000.0,9500.0,10000.0,30.2,14.2,0.0,11.3,9830.2,9900.0,9500.0
2024-02-12,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9720.142857142857,8800.0,10300.0,30.4,15.6,0.0,17.3,10000.0,9666.666666666666,9266.666666666666
2024-02-13,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9550.0,8000.0,10000.0,30.4,15.6,0.0,16.1,9720.142857142857,9496.714285714286,9425.0
2024-02-14,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9525.0,8500.0,9797.0,28.3,14.6,0.0,12.7,9550.0,9480.0,9193.666666666666
2024-02-15,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9250.0,5000.0,9801.0,29.4,15.6,0.0,12.0,9525.0,9430.0,8800.25
2024-02-16,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9133.333333333334,7500.0,9701.0,30.7,19.4,0.0,20.3,9250.0,9658.5,8860.0
2024-02-17,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9000.666666666666,7501.0,9500.0,31.2,17.1,0.0,18.5,9133.333333333334,9830.2,9550.0
2024-02-18,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9300.0,9050.0,9300.0,30.4,17.6,0.0,10.5,9000.666666666666,10000.0,9900.0
2024-02-19,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9200.0,9200.0,9200.0,30.4,17.4,0.0,11.7,9300.0,9720.142857142857,9666.666666666666
2024-02-20,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8966.666666666666,6000.0,9700.0,30.399999999999995,16.7,0.0,16.6,9200.0,9550.0,9496.714285714286
2024-02-21,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8900.0,7801.0,10000.0,30.3,17.1,0.0,17.7,8966.666666666666,9525.0,9480.0
2024-02-22,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8966.4,7500.0,9900.0,28.9,15.5,0.0,17.4,8900.0,9250.0,9430.0
2024-02-23,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9112.625,8000.0,9900.0,27.3,15.0,0.0,12.8,8966.4,9133.333333333334,9658.5
2024-02-24,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9028.57142857143,7200.0,9800.0,28.5,14.4,0.0,12.0,9112.625,9000.666666666666,9830.2
2024-02-25,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9650.0,7000.0,10000.0,28.8,14.2,0.0,11.9,9028.57142857143,9300.0,10000.0
2024-02-26,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9287.5,9000.0,9800.0,31.4,17.7,0.7,15.7,9650.0,9200.0,9720.142857142857
2024-02-27,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8664.285714285714,4000.0,9700.0,32.1,19.0,0.0,15.9,9287.5,8966.666666666666,9550.0
2024-02-28,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9121.42857142857,8000.0,9900.0,30.5,19.0,0.0,14.2,8664.285714285714,8900.0,9525.0
2024-02-29,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8850.2,8000.0,9900.0,31.6,19.6,0.0,11.4,9121.42857142857,8966.4,9250.0
2024-03-01,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9014.57142857143,6000.0,9800.0,32.2,20.4,0.3,19.9,8850.2,9112.625,9133.333333333334
2024-03-02,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8916.0,5000.0,9500.0,31.4,19.1,0.0,21.8,9014.57142857143,9028.57142857143,9000.666666666666
2024-03-03,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9300.0,9000.0,9300.0,30.2,16.3,0.0,19.8,8916.0,9650.0,9300.0
2024-03-04,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8280.0,6000.0,9600.0,29.0,14.2,0.0,12.4,9300.0,9287.5,9200.0
2024-03-05,Ahmednagar,Arhar (Tur/Red Gram)(Whole),8817.0,5100.0,9900.0,31.0,14.5,0.0,17.3,8280.0,8664.285714285714,8966.666666666666
2024-03-06,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9378.57142857143,8000.0,10000.0,32.6,15.7,0.0,19.1,8817.0,9121.42857142857,8900.0
2024-03-07,Ahmednagar,Arhar (Tur/Red Gram)(Whole),9184.0,8752.0,10000.0,30.600000000000005,16.3,0.0,13.0,9378.57142857143,8850.2,8966.4
